,community,population,FELONY,MISDEMEANOR,VIOLATION
12,301,160338 ,2822,5658,1399.0
13,302,98620 ,2541,5561,1294.0
14,303,143867 ,3614,6433,1850.0
15,304,104358 ,1991,3631,915.0
16,305,173198 ,4306,7927,2122.0
17,306,104054 ,1465,2927,596.0
18,307,120063 ,1405,3052,622.0
19,308,96076 ,1612,3405,858.0
20,309,104014 ,1681,3316,921.0
21,310,122542 ,1197,2963,624.0
22,311,172129 ,1449,3017,693.0
23,312,185046 ,1034,2218,545.0
24,313,106120 ,1267,3524,761.0
25,314,168806 ,1926,4097,931.0
26,315,160319 ,1539,3165,625.0
27,316,85343 ,2458,4738,1345.0
28,317,165753 ,2797,4590,1579.0
29,318,194653 ,2646,4637,1421.0
